question_id,context
0bc6555f-92e9-4dc4-93a7-4ad67c21aa35,"NBER WORKING PAPER SERIES
HOW PEOPLE USE CHATGPT
Aaron Chatterji
Thomas Cunningham
David J. Deming
Zoe Hitzig
Christopher Ong
Carl Yan Shan
Kevin Wadman
Working Paper 34255
http://www.nber.org/papers/w34255
NATIONAL BUREAU OF ECONOMIC RESEARCH
1050 Massachusetts Avenue
Cambridge, MA 02138
September 2025
We acknowledge help and comments from Joshua Achiam, Hemanth Asirvatham, Ryan 
Beiermeister, Rachel Brown, Cassandra Duchan Solis, Jason Kwon, Elliott Mokski, Kevin Rao, 
Harrison Satcher, Gawesha Weeratunga, Hannah Wong, and Analytics & Insights team. We 
especially thank Tyna Eloundou and Pamela Mishkin who in several ways laid the foundation for 
this work. This study was approved by Harvard IRB (IRB25-0983). A repository containing all 
code run to produce the analyses in this paper is available on request. The views expressed herein 
are those of the authors and do not necessarily reflect the views of the National Bureau of 
Economic Research.

How People Use ChatGPT
Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, Carl
Yan Shan, and Kevin Wadman
NBER Working Paper No. 34255
September 2025
JEL No. J01, O3, O4
ABSTRACT
Despite the rapid adoption of LLM chatbots, little is known about how they are used. We 
document the growth of ChatGPT’s consumer product from its launch in November 2022 
through July 2025, when it had been adopted by around 10% of the world’s adult population. 
Early adopters were disproportionately male but the gender gap has narrowed dramatically, and 
we find higher growth rates in lower-income countries. Using a privacy-preserving automated 
pipeline, we classify usage patterns within a representative sample of ChatGPT conversations. 
We find steady growth in work-related messages but even faster growth in non-work-related 
messages, which have grown from 53% to more than 70% of all usage. Work usage is more

7
Conclusion
This paper studies the rapid growth of ChatGPT, which launched in November 2022. By July 2025,
ChatGPT had been used weekly by more than 700 million users, who were collectively sending more
than 2.5 billion messages per day, or about 29,000 messages per second. Yet despite the rapid adop-
tion of ChatGPT and Generative AI more broadly, little previous evidence existed on how this new
technology is used and who is using it.
This is the first economics paper to use internal ChatGPT message data, and we do so while
introducing a novel privacy-preserving methodology.
No user messages were observed by humans
during any part of the work on this paper.
This paper documents eight important facts about ChatGPT. First, as of July 2025 about 70%
of ChatGPT consumer queries were unrelated to work; while both work-related and non-work-related
queries have been increasing, non-work queries have been increasing faster."
0484691b-6a2a-4548-99fb-f6399801ebc2,"Economic Research.
At least one co-author has disclosed additional relationships of potential relevance for this research. 
Further information is available online at http://www.nber.org/papers/w34255
NBER working papers are circulated for discussion and comment purposes. They have not been 
peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies 
official NBER publications.
© 2025 by Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, 
Carl Yan Shan, and Kevin Wadman. All rights reserved. Short sections of text, not to exceed two 
paragraphs, may be quoted without explicit permission provided that full credit, including © 
notice, is given to the source.

NBER WORKING PAPER SERIES
HOW PEOPLE USE CHATGPT
Aaron Chatterji
Thomas Cunningham
David J. Deming
Zoe Hitzig
Christopher Ong
Carl Yan Shan
Kevin Wadman
Working Paper 34255
http://www.nber.org/papers/w34255
NATIONAL BUREAU OF ECONOMIC RESEARCH
1050 Massachusetts Avenue
Cambridge, MA 02138
September 2025
We acknowledge help and comments from Joshua Achiam, Hemanth Asirvatham, Ryan 
Beiermeister, Rachel Brown, Cassandra Duchan Solis, Jason Kwon, Elliott Mokski, Kevin Rao, 
Harrison Satcher, Gawesha Weeratunga, Hannah Wong, and Analytics & Insights team. We 
especially thank Tyna Eloundou and Pamela Mishkin who in several ways laid the foundation for 
this work. This study was approved by Harvard IRB (IRB25-0983). A repository containing all 
code run to produce the analyses in this paper is available on request. The views expressed herein 
are those of the authors and do not necessarily reflect the views of the National Bureau of 
Economic Research.

Harvard University
Harvard Kennedy School 
and NBER
david_deming@harvard.edu
Zoe Hitzig
OpenAI
and Harvard Society of Fellows
zhitzig@g.harvard.edu
Christopher Ong
Harvard University
and OpenAI
christopherong@hks.harvard.edu
Carl Yan Shan
OpenAI
cshan@openai.com
Kevin Wadman
OpenAI
kevin.wadman@c-openai.com"
703beeba-8459-4cdc-9f6b-dc9162eff9d1,"Economic Research.
At least one co-author has disclosed additional relationships of potential relevance for this research. 
Further information is available online at http://www.nber.org/papers/w34255
NBER working papers are circulated for discussion and comment purposes. They have not been 
peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies 
official NBER publications.
© 2025 by Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, 
Carl Yan Shan, and Kevin Wadman. All rights reserved. Short sections of text, not to exceed two 
paragraphs, may be quoted without explicit permission provided that full credit, including © 
notice, is given to the source.

NBER WORKING PAPER SERIES
HOW PEOPLE USE CHATGPT
Aaron Chatterji
Thomas Cunningham
David J. Deming
Zoe Hitzig
Christopher Ong
Carl Yan Shan
Kevin Wadman
Working Paper 34255
http://www.nber.org/papers/w34255
NATIONAL BUREAU OF ECONOMIC RESEARCH
1050 Massachusetts Avenue
Cambridge, MA 02138
September 2025
We acknowledge help and comments from Joshua Achiam, Hemanth Asirvatham, Ryan 
Beiermeister, Rachel Brown, Cassandra Duchan Solis, Jason Kwon, Elliott Mokski, Kevin Rao, 
Harrison Satcher, Gawesha Weeratunga, Hannah Wong, and Analytics & Insights team. We 
especially thank Tyna Eloundou and Pamela Mishkin who in several ways laid the foundation for 
this work. This study was approved by Harvard IRB (IRB25-0983). A repository containing all 
code run to produce the analyses in this paper is available on request. The views expressed herein 
are those of the authors and do not necessarily reflect the views of the National Bureau of 
Economic Research.

Privacy via a Data Clean Room.
We never directly accessed user-level demographic records.
All analysis of employment data was executed exclusively within a secure DCR that permits only
pre-approved aggregate computations across independently held datasets; neither party can view or
export the other party’s underlying records. We governed the DCR with strict protocols: To execute
any query that touched the external demographic data, we first obtained explicit sign-off from a
committee of 6 coauthors and then submitted the notebook to our data partner for approval; only
approved notebooks could run in the DCR (see Figure 2).
Our partner enforced strict aggregation limits: they only approved code that returned cells meeting
a threshold of 100 users. Consequently, no individual rows or narrowly defined categories were ever
visible to researchers. For example, if 99 users had the occupation “anesthesiologist,” any occupation-"
c2ddbb4c-701e-4f9f-816d-67d3de119269,"Economic Research.
At least one co-author has disclosed additional relationships of potential relevance for this research. 
Further information is available online at http://www.nber.org/papers/w34255
NBER working papers are circulated for discussion and comment purposes. They have not been 
peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies 
official NBER publications.
© 2025 by Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, 
Carl Yan Shan, and Kevin Wadman. All rights reserved. Short sections of text, not to exceed two 
paragraphs, may be quoted without explicit permission provided that full credit, including © 
notice, is given to the source.

NBER WORKING PAPER SERIES
HOW PEOPLE USE CHATGPT
Aaron Chatterji
Thomas Cunningham
David J. Deming
Zoe Hitzig
Christopher Ong
Carl Yan Shan
Kevin Wadman
Working Paper 34255
http://www.nber.org/papers/w34255
NATIONAL BUREAU OF ECONOMIC RESEARCH
1050 Massachusetts Avenue
Cambridge, MA 02138
September 2025
We acknowledge help and comments from Joshua Achiam, Hemanth Asirvatham, Ryan 
Beiermeister, Rachel Brown, Cassandra Duchan Solis, Jason Kwon, Elliott Mokski, Kevin Rao, 
Harrison Satcher, Gawesha Weeratunga, Hannah Wong, and Analytics & Insights team. We 
especially thank Tyna Eloundou and Pamela Mishkin who in several ways laid the foundation for 
this work. This study was approved by Harvard IRB (IRB25-0983). A repository containing all 
code run to produce the analyses in this paper is available on request. The views expressed herein 
are those of the authors and do not necessarily reflect the views of the National Bureau of 
Economic Research.

Carnehl, Christoph and Johannes Schneider, “A Quest for Knowledge,” Econometrica, March
2025, 93 (2), 623–659. Published March 2025.
Chetty, Raj, Matthew O. Jackson, Theresa Kuchler, Johannes Stroebel, Nathaniel
Hendren, Robert B. Fluegge, Sara Gong, Federico Gonzalez, Armelle Grondin,
Matthew Jacob, Drew Johnston, Martin Koenen, Eduardo Laguna-Muggenburg, Flo-
rian Mudekereza, Tom Rutter, Nicolaj Thor, Wilbur Townsend, Ruby Zhang, Mike
Bailey, Pablo Barber´a, Monica Bhole, and Nils Wernerfelt, “Social Capital I: Measurement
and Associations with Economic Mobility,” Nature, 2022, 608 (7923), 108–121.
Chiang, Wei-Lin, Lianmin Zheng, Ying Sheng, Anastasios N. Angelopoulos, Tianle Li,
Dacheng Li, Banghua Zhu, Hao Zhang, Michael I. Jordan, Joseph E. Gonzalez, and
Ion Stoica, “Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference,”
in “Proceedings of the 41st International Conference on Machine Learning” ICML‘24 JMLR.org
Vienna, Austria 2024, pp. 8359–8388."
ee83a44d-6460-4dd6-9fb6-deb932391f38,"NBER WORKING PAPER SERIES
HOW PEOPLE USE CHATGPT
Aaron Chatterji
Thomas Cunningham
David J. Deming
Zoe Hitzig
Christopher Ong
Carl Yan Shan
Kevin Wadman
Working Paper 34255
http://www.nber.org/papers/w34255
NATIONAL BUREAU OF ECONOMIC RESEARCH
1050 Massachusetts Avenue
Cambridge, MA 02138
September 2025
We acknowledge help and comments from Joshua Achiam, Hemanth Asirvatham, Ryan 
Beiermeister, Rachel Brown, Cassandra Duchan Solis, Jason Kwon, Elliott Mokski, Kevin Rao, 
Harrison Satcher, Gawesha Weeratunga, Hannah Wong, and Analytics & Insights team. We 
especially thank Tyna Eloundou and Pamela Mishkin who in several ways laid the foundation for 
this work. This study was approved by Harvard IRB (IRB25-0983). A repository containing all 
code run to produce the analyses in this paper is available on request. The views expressed herein 
are those of the authors and do not necessarily reflect the views of the National Bureau of 
Economic Research.

Economic Research.
At least one co-author has disclosed additional relationships of potential relevance for this research. 
Further information is available online at http://www.nber.org/papers/w34255
NBER working papers are circulated for discussion and comment purposes. They have not been 
peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies 
official NBER publications.
© 2025 by Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, 
Carl Yan Shan, and Kevin Wadman. All rights reserved. Short sections of text, not to exceed two 
paragraphs, may be quoted without explicit permission provided that full credit, including © 
notice, is given to the source.

comparisons of human preferences over two alternative responses to the same message (e.g. Chatbot
Arena (Chiang et al., 2024)).
3
Data and Privacy
In this section, we describe the data used in the paper and the privacy safeguards we implemented. No
member of the research team ever saw the content of user messages, and all analyses were conducted
in accordance with OpenAI’s Privacy Policy (OpenAI, 2025c).
The analysis in this paper is based on the following datasets:
1. Growth: total daily message volumes from consumer ChatGPT users between November 2022
and September 2025, along with basic self-reported demographic information. This dataset is
primarily used in Section 4.
2. Classified messages: messages classified into coarse categories.
• Sampled from all ChatGPT users: a random sample of approximately one million de-
identified messages from logged-in consumer ChatGPT users between May 2024 and June
2025.14 This dataset is primarily used in Section 5."
bb63a7e9-a0a0-4ac0-a11a-87c466e28898,"How People Use ChatGPT
Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, Carl
Yan Shan, and Kevin Wadman
NBER Working Paper No. 34255
September 2025
JEL No. J01, O3, O4
ABSTRACT
Despite the rapid adoption of LLM chatbots, little is known about how they are used. We 
document the growth of ChatGPT’s consumer product from its launch in November 2022 
through July 2025, when it had been adopted by around 10% of the world’s adult population. 
Early adopters were disproportionately male but the gender gap has narrowed dramatically, and 
we find higher growth rates in lower-income countries. Using a privacy-preserving automated 
pipeline, we classify usage patterns within a representative sample of ChatGPT conversations. 
We find steady growth in work-related messages but even faster growth in non-work-related 
messages, which have grown from 53% to more than 70% of all usage. Work usage is more

Other papers have analyzed digital behavior and demographic data; we mention a few relevant
precedents here. Humlum and Vestergaard (2025b) and Humlum and Vestergaard (2025a), for exam-
ple, analyze large-scale surveys on chatbot use along with Danish administrative labor market data.
Chetty et al. (2022) analyze de-identified Facebook friendship graphs and anonymized IRS tax records,
aggregated at the zip code level.
4
The Growth of ChatGPT
ChatGPT was released to the public on November 30, 2022 as a “research preview,” and by December
5 it had more than one million registered users. Figure 3 reports the growth of overall weekly active
users (WAU) on consumer plans over time. ChatGPT had more than 100 million logged-in WAU after
one year, and almost 350 million after two years. By the end of July 2025, ChatGPT had more than
700 million total WAU, nearly 10% of the world’s adult population.20
Figure 3:

1
Introduction
ChatGPT launched in November 2022. By July 2025, 18 billion messages were being sent each week
by 700 million users, representing around 10% of the global adult population.1 For a new technology,
this speed of global diffusion has no precedent (Bick et al., 2024).
This paper studies consumer usage of ChatGPT, the first mass-market chatbot and likely the
largest.2 ChatGPT is based on a Large Language Model (LLM), a type of Artificial Intelligence (AI)
developed over the last decade and generally considered to represent an acceleration in AI capabilities.3
The sudden growth in LLM abilities and adoption has intensified interest in the effects of artificial
intelligence on economic growth (Acemoglu, 2024; Korinek and Suh, 2024); employment (Eloundou
et al., 2025); and society (Kulveit et al., 2025). However, despite the rapid adoption of LLMs, there
is limited public information on how they are used. A number of surveys have measured self-reported"
bac4ef6c-68c3-4bfd-9f8e-49e3bcf541ec,"C
Appendix: ChatGPT Timeline
date
event
2022-11-30
Public launch of ChatGPT as a “research preview” (using GPT-3.5)
2023-02-01
Launch of ChatGPT Plus subscription
2023-03-14
Launch of GPT-4 in ChatGPT Plus
2024-04-01
Launch of logged-out ChatGPT
2024-05-13
Launch of GPT-4o in ChatGPT Free and Plus
2024-09-12
Launch of o1-preview and o1-mini in ChatGPT Plus
2024-12-01
Launch of o1-pro in ChatGPT
2024-12-05
Launch of ChatGPT Pro subscription
2025-01-03
Launch of o3-mini in ChatGPT
2025-03-25
Launch of GPT-4o image generation
2025-04-16
Launch of o3 and o4-mini
2025-06-10
Launch of o3-pro
2025-08-07
Launch of GPT-5 in ChatGPT
59

and system cards that OpenAI has released with each model e.g., (OpenAI, 2023, 2024a, 2025b). A
chatbot is a statistical model trained to generate a text response given some text input, so as to
maximize the “quality” of that response, where the quality is measured with a variety of metrics.
In a prototypical interaction, a user submits a plain-text message (“prompt”) and ChatGPT
returns the message (“response”) generated from an underlying LLM. A large set of additional features
have been added to ChatGPT—including the possibility for the LLM to search the web or external
databases, and generate images based on text—but the exchange of text-based messages remains the
most typical interaction.
Since its launch ChatGPT has used a variety of different underlying LLMs e.g., GPT-3.5, GPT-4,
GPT-4o, o1, o3, and GPT-5.12 In addition there are occasional updates to the model’s weights and
to the model’s system prompt (text instructions sent to the model along with all the queries).

Other papers have analyzed digital behavior and demographic data; we mention a few relevant
precedents here. Humlum and Vestergaard (2025b) and Humlum and Vestergaard (2025a), for exam-
ple, analyze large-scale surveys on chatbot use along with Danish administrative labor market data.
Chetty et al. (2022) analyze de-identified Facebook friendship graphs and anonymized IRS tax records,
aggregated at the zip code level.
4
The Growth of ChatGPT
ChatGPT was released to the public on November 30, 2022 as a “research preview,” and by December
5 it had more than one million registered users. Figure 3 reports the growth of overall weekly active
users (WAU) on consumer plans over time. ChatGPT had more than 100 million logged-in WAU after
one year, and almost 350 million after two years. By the end of July 2025, ChatGPT had more than
700 million total WAU, nearly 10% of the world’s adult population.20
Figure 3:"
e80a3202-66d6-465d-98b0-03c3a5ae22cc,"Topic
Conversation Category
Computer Programming
Multimedia
Create an Image
Analyze an Image
Generate or Retrieve Other Media
Seeking Information
Specific Info
Purchasable Products
Cooking and Recipes
Self-Expression
Greetings and Chitchat
Relationships and Personal Reflection
Games and Role Play
Other/Unknown
Asking About the Model
Other
Unclear
Table 3: Coarse Conversation Topics and Underlying Classifier Categories
Figure 7 shows the composition of user messages over time. The three most common Conversation
Topics are Practical Guidance, Seeking Information, and Writing, collectively accounting for about
77% of all ChatGPT conversations. Practical Guidance has remained constant at roughly 29% of
overall usage. Writing has declined from 36% of all usage in July 2024 to 24% a year later. Seeking
Information has grown from 14% to 24% of all usage over the same period. The share of Technical

queries have been increasing, non-work queries have been increasing faster.
Second, the three most common ChatGPT conversation topics are Practical Guidance, Writing,
and Seeking Information, collectively accounting for nearly 78% of all messages.
Computer Pro-
gramming and Relationships and Personal Reflection account for only 4.2% and 1.9% of messages
respectively.
Third, Writing is by far the most common work use, accounting for 42% of work-related messages
overall and more than half of all messages for users in management and business occupations. About
two-thirds of Writing messages are requests to modify user text rather than to produce novel text
from scratch.
Fourth, we classify messages according to the kind of output users are seeking with a rubric we
call Asking, Doing, or Expressing. About 49% of messages are users asking ChatGPT for guidance,
advice, or information (Asking), 40% are requests to complete tasks that can be plugged into a process

Information has grown from 14% to 24% of all usage over the same period. The share of Technical
Help declined from 12% from all usage in July 2024 to around 5% a year later – this may be because
the use of LLMs for programming has grown very rapidly through the API (outside of ChatGPT),
for AI assistance in code editing and for autonomous programming agents (e.g. Codex). Multimedia
grew from 2% to just over 7%, with a large spike in April 2025 after ChatGPT released new image-
generation capabilities: the spike attenuated but the elevated level has persisted.
Figure 8 shows Conversation Topics, restricting the sample to only work-related messages. About
40% of all work-related messages in July 2025 are Writing, by far the most common Conversation
Topic. Practical Guidance is the second most common use case at 24%. Technical Help has declined
from 18% of all work-related messages in July 2024 to just over 10% in July 2025."
92bade2f-3ba7-4b04-b746-c053cc4f2a46,"Table 1 shows that both types of queries grew rapidly between June 2024 and June 2025, however
non-work-related messages grew faster: 53% of messages were not related to work in June 2024, which
climbed to 73% by June 2025.
Figure 6 plots the share of non-work messages decomposed by cumulative sign-up cohorts. Succes-
sive cohorts have had a higher share of non-work messages, but also within each cohort their non-work
use has increased. Comparing the share among all users (black line) to the share among the earliest
cohort of users (yellow line), we can see that they track very closely.
21See Appendix A for the full prompt, see Appendix B for validation.
12

Month
Non-Work (M)
(%)
Work (M)
(%)
Total Messages (M)
Jun 2024
238
53%
213
47%
451
Jun 2025
1,911
73%
716
27%
2,627
Table 1: ChatGPT daily message counts (millions), broken down by likely work-related or non-work-related.
Total daily counts are exact measurements of message volume from all consumer plans. Daily counts of work
and non-work related messages are estimated by classifying a random sample of conversations from that day.
Sampling is done to exclude users who opt-out of sharing their messages for model training, users who self-
report their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated
or banned (details available in Section 3). Reported values are 7-day averages (to smooth weekly fluctuation)
ending on the 26th of June 2024 and 26th of June 2025.
messages have grown continuously, but non-work messages have grown faster and now represent more

approximately 23% of messages for users under age 26, with this share increasing with age. The
one exception is users who self-attest to being 66 years-old or older, with only 16% of their classified
messages being work-related. The plot below shows trends in the share of work-related messages by
age group. ChatGPT usage has become less work-related over time for users of all ages.
25"
8a686c41-a1a8-44b7-a576-36d9551699ad,"How People Use ChatGPT
Aaron Chatterji, Thomas Cunningham, David J. Deming, Zoe Hitzig, Christopher Ong, Carl
Yan Shan, and Kevin Wadman
NBER Working Paper No. 34255
September 2025
JEL No. J01, O3, O4
ABSTRACT
Despite the rapid adoption of LLM chatbots, little is known about how they are used. We 
document the growth of ChatGPT’s consumer product from its launch in November 2022 
through July 2025, when it had been adopted by around 10% of the world’s adult population. 
Early adopters were disproportionately male but the gender gap has narrowed dramatically, and 
we find higher growth rates in lower-income countries. Using a privacy-preserving automated 
pipeline, we classify usage patterns within a representative sample of ChatGPT conversations. 
We find steady growth in work-related messages but even faster growth in non-work-related 
messages, which have grown from 53% to more than 70% of all usage. Work usage is more

6
Who Uses ChatGPT
In this section we report basic descriptive facts about who uses consumer ChatGPT. Existing work
documents variation in generative AI use by demographic groups within representative samples in
the U.S. (Bick et al. (2024), Hartley et al. (2025)) and within a subset of occupations in Denmark
(Humlum and Vestergaard, 2025a). All of these papers find that generative AI is used more frequently
by men, young people, and those with tertiary and/or graduate education.
We make three contributions relative to this prior literature. First, we confirm these broad demo-
graphic patterns in a global sample rather than a single country. Second, we provide more detail for
selected demographics such as age, gender, and country of origin and study how gaps in each have
changed over time. Third, we use a secure data clean room to analyze how ChatGPT usage varies by
education and occupation.
6.1
Name Analysis

Other papers have analyzed digital behavior and demographic data; we mention a few relevant
precedents here. Humlum and Vestergaard (2025b) and Humlum and Vestergaard (2025a), for exam-
ple, analyze large-scale surveys on chatbot use along with Danish administrative labor market data.
Chetty et al. (2022) analyze de-identified Facebook friendship graphs and anonymized IRS tax records,
aggregated at the zip code level.
4
The Growth of ChatGPT
ChatGPT was released to the public on November 30, 2022 as a “research preview,” and by December
5 it had more than one million registered users. Figure 3 reports the growth of overall weekly active
users (WAU) on consumer plans over time. ChatGPT had more than 100 million logged-in WAU after
one year, and almost 350 million after two years. By the end of July 2025, ChatGPT had more than
700 million total WAU, nearly 10% of the world’s adult population.20
Figure 3:"
