id,question,evolution_type,original_question
0bc6555f-92e9-4dc4-93a7-4ad67c21aa35,"Could you provide the names of the authors and their affiliations for the working paper titled ""How People Use ChatGPT,"" as well as any relevant publication details such as the date of release and the journal or platform where it was published?",simple,"Who are the authors of the working paper titled ""How People Use ChatGPT""?"
0484691b-6a2a-4548-99fb-f6399801ebc2,"Which specific institution is responsible for publishing the working paper series referenced in the document, and what is the title or focus of that particular series?",simple,What institution published the working paper series mentioned in the document?
703beeba-8459-4cdc-9f6b-dc9162eff9d1,"What is the exact date and any relevant details regarding the approval of the working paper by the Harvard Institutional Review Board (IRB), including the IRB protocol number and any conditions or stipulations that were attached to the approval?",simple,When was the working paper approved by Harvard IRB?
c2ddbb4c-701e-4f9f-816d-67d3de119269,"What is the working paper number assigned to the study titled ""Impact of Renewable Energy on Economic Growth"" authored by Dr. Jane Smith, published in September 2023, and available through the National Bureau of Economic Research (NBER)?",simple,What is the working paper number assigned to this study?
ee83a44d-6460-4dd6-9fb6-deb932391f38,"In which online repository or specific platform (e.g., GitHub, Bitbucket, etc.) can I locate the complete codebase, including all scripts and data used, that was executed to generate the analyses and results presented in this paper, and are there any specific version tags or branches I should look for to ensure I am accessing the correct version of the code?",simple,Where can one find the repository containing all code run to produce the analyses in this paper?
bb63a7e9-a0a0-4ac0-a11a-87c466e28898,"By July 2025, what percentage of the adult population in urban areas across North America, Europe, and Asia had adopted ChatGPT for personal and professional use, and how does this adoption rate compare to that of other AI communication tools during the same period?",simple,What percentage of the world's adult population had adopted ChatGPT by July 2025?
bac4ef6c-68c3-4bfd-9f8e-49e3bcf541ec,"On what date was the initial version of ChatGPT, developed by OpenAI, officially launched to the public, and what were the key features or capabilities that distinguished this version from its predecessors?",simple,When was ChatGPT launched?
e80a3202-66d6-465d-98b0-03c3a5ae22cc,"What are the three most common topics of ChatGPT conversations among users seeking information on technology, health, and personal development, based on data collected over the last year?",simple,What are the three most common topics of ChatGPT conversations?
92bade2f-3ba7-4b04-b746-c053cc4f2a46,"What was the percentage increase in non-work-related messages, which rose from 53% to a higher percentage, during the study conducted over a specific time frame, and what factors contributed to this growth?",simple,How much did non-work-related messages grow from 53% to by the time of the study?
8a686c41-a1a8-44b7-a576-36d9551699ad,"What specific age groups, professions, and geographic regions were identified as the primary early adopters of ChatGPT during its initial launch period, and what factors contributed to their adoption of this technology?",simple,Which demographic was identified as early adopters of ChatGPT?
13b36e6c-36a3-4574-b406-49dbb5619abd,"What was the exact date of the official launch of ChatGPT by OpenAI, and what were the key features and capabilities introduced at that time?",simple,When was ChatGPT launched?
480cf0ca-5294-4bc9-b477-2aa2886e998c,"By July 2025, what was the average number of messages sent per week by ChatGPT users across different demographics, such as age groups and geographical locations, and how did this usage vary between free and subscription-based accounts?",simple,How many messages were being sent each week by ChatGPT users by July 2025?
cd799f7a-8bb6-49a4-b729-bbfbc5b797e3,"What percentage of the estimated global adult population, currently approximated at 5.2 billion individuals, does the 700 million registered ChatGPT users represent, and how does this percentage vary across different regions or demographics, such as age, gender, and socioeconomic status?",simple,What percentage of the global adult population does the 700 million ChatGPT users represent?
967d55e6-288c-4225-8fdd-d8fdabf03f3f,"What specific machine learning architecture and algorithms underpin ChatGPT, and how do they differ from previous iterations of language models in terms of training data, performance metrics, and practical applications?",simple,What type of technology is ChatGPT based on?
b0a5bb3f-278a-48c8-9093-e34e3a679629,"What is one of the key focuses of the paper regarding consumer usage of ChatGPT, specifically in terms of how different demographic groups (such as age, gender, and socioeconomic status) interact with the AI, and what implications these interactions have for user satisfaction and engagement?",simple,What is one of the key focuses of the paper regarding consumer usage of ChatGPT?
0ded1f47-0117-4b4e-8623-8ab822c1245e,"Based on the insights provided in the working paper titled ""How People Use ChatGPT,"" compare the authors' perspectives on user engagement with ChatGPT to the findings on its impact on communication styles. How do the authors' backgrounds influence their interpretations of these aspects?",multi_context,"Who are the authors of the working paper titled ""How People Use ChatGPT""?"
